feature_set,model,accuracy,macro_f1,balanced_acc,kappa
statistical,LogisticRegression,0.8050118599862972,0.5913692319464489,0.643188896918882,0.6504754103851011
statistical,RandomForest,0.810902052952719,0.5726197626135285,0.609788595454455,0.6185783237251097
spectral,LogisticRegression,0.8000149618268969,0.6374145762210737,0.7001255708338654,0.642801952760054
spectral,RandomForest,0.8196280450833494,0.5936662663468296,0.6336372460770222,0.6418012577171354
complexity,LogisticRegression,0.8302152537706369,0.5789574474382663,0.6031945918359384,0.6553787687481846
complexity,RandomForest,0.8785123623331494,0.6346847433452755,0.6562411649730272,0.7437885780115788
stat+complexity,LogisticRegression,0.8818640906414094,0.6980390732409795,0.7272565839416,0.7703126496889833
stat+complexity,RandomForest,0.8889118780447456,0.6753660119043716,0.704114414551895,0.7717828676851708
spectral+complexity,LogisticRegression,0.896691386869425,0.7197700650277602,0.7618802896437359,0.7963223248437625
spectral+complexity,RandomForest,0.8880509544103493,0.6591543566432461,0.6807085171826324,0.7649877872060271
all,LogisticRegression,0.9013264328915075,0.7314247391170104,0.7722700063660352,0.8057474087719326
all,RandomForest,0.8995251150019739,0.7051107588936847,0.7347492125761695,0.794308552266113
